Exact Matches,Not Available,Similar Trades,Short/Long Form Matches
Architectural Draughtsman,Additive Manufacturing Technician Three D Printing,,
Central Aircondition Plant Mechanic,Advanced CNC Machining Technician,,
Computer Hardware & Network Maintenance,Aeronautical Structure and Equipment Fitter,,Fitter
Cosmetology,Agro Processing,,
Desk Top Publishing Operator,Artisan Using Advanced Tool,Architectural Draughtsman,Architectural Draughtsman
Draughtsman (Civil),Attendant Operator (Chemical Plant),,
Draughtsman (Mechanical),Automotive Technicians,,
Electrician,Baker and Confectioner,,
Electroplater,Bamboo Works,,
Fashion Design & Technology,Basic Designer and Virtual Verifier (Mechanical),,
Fire Technology and Industrial Safety Management,Boiler Technicians,,Mechanical
Food & Beverages Services Assistant,Cable Installation Technicians,,
Food Production (General),Catering & Hospitality Assistant,,
Foundryman,Civil Engineer Assistant,,
Health Sanitary Inspector,CNC Machine Technicians,Central Aircondition Plant Mechanic,Central Aircondition Plant Mechanic
Information Technology,Computer Aided Embroidery and Designing,,
Instrument Mechanic,Computer Aided Manufacturing (CAM) Programmer,,
Machinist,Computer Operator & Programming Assistant,,
Marine Fitter,Construction Equipment Technicians,,
Mechanic Auto Body Painting,Cutting & Sewing,Computer Hardware & Network Maintenance,Computer Hardware & Network Maintenance
Mechanic Auto Body Repair,Dairy Technicians,,
Mechanic Auto Electrical and Electronics,Data Base System Assistant,,Construction
Mechanic Diesel,Data Entry Operator,"Basic Cosmetology, Cosmetology","Basic Cosmetology, Cosmetology"
Mechanic (Motor Vehicle),Dental Laboratory Equipment Technician,,
Painter General,Diesel Technicians,,
Plumber,Digital Photographer,,
Plastic Processing Operator,Domestic Painter,Domestic Data Entry Operator (IT&ITes),Domestic Data Entry Operator (IT&ITes)
Refrigeration and Air Conditioning Technician,Drone Technician,,
Secretarial Practice (English),Driver Cum Mechanic,Desk Top Publishing Operator,Desk Top Publishing Operator
Sewing Technology,Early Childhood Educator,,
Sheet Metal Worker,Electrician Power Distribution,,
Surveyor,Elevator Technicians,,
Tool & Die Maker (Dies & Moulds),Fibre to Home Technician,Draughtsman (Civil),Draughtsman (Civil)
Turner,Finance Executive,Draughtsman (Mechanical),"Draughtsman (Mechanical), Mechanical"
Wireman,Firemen,,
,Floriculture & Landscaping,,
,Food Beverage,,
,Front Office Assistant,Electrician,Electrician
,Fruit and Vegetable Processor,,Electrician
,Gas Technicians,Electroplater,Electroplater
,Geo Informatics Assistant,,
,Geriatric (Old Age) Care,Fashion Design & Technology,Fashion Design & Technology
,Hair & Skin Care,,
,Health Safety & Environment,Micro Finance Executive,Micro Finance Executive
,Horticulture,Fire Technology and Industrial Safety Management,"Fire Technology and Industrial Safety Management, Fire Technology"
,Hospital House Keeping,,
,House Keeper,,
,Human Resource Executive,Food & Beverages Services Assistant,Food & Beverages Services Assistant
,HVAC Technicians,,
,Industrial Machinery Technicians,Food Production (General),Food Production (General)
,Industrial Painter,Foundryman,Foundryman
,Industrial Robotics and Digital Manufacturing Technician,,
,Information Communication Technology System Maintenance,,
,In Plant Logistics Assistant,,
,Instrument Mechanic (Chemical Plant),,
,Interior Design & Decoration,,
,IoT Technician (Smart Agriculture),,
,IoT Technician (Smart City),,
,IoT Technician (Smart Healthcare),Health Sanitary Inspector,Health Sanitary Inspector
,Laboratory Assistant (Chemical Plant),,
,Leather Goods Maker,,
,Lift and Escalator Mechanic,,
,Machinist (Grinder),,
,Maintenance Mechanic (Chemical Plant),,AC Technician
,Marine Engine Fitter,,
,Marketing Executive,,
,Mason (Building Constructor),,
,Mechanic Agriculture Machinery,,
,Mechanic Consumer Electronics Appliances,"Information Technology, Information Technology (IT)","Information Technology, Information Technology (IT)"
,Mechanic Electric Vehicle,,
,Mechanic Electronics System Design and Repair,Instrument Mechanic,Instrument Mechanic
,Mechanic Lens/Prism Grinding,,Instrument Mechanic
,Mechanic Machine Tool Maintenance,,Interior Design
,Mechanic Mining Machinery,,IOT
,Mechanic (Tractor),,IOT
,Mechanic Two & Three Wheeler,,IOT
,Medical Equipment Technicians,,
,Metal Cutting Attendant,,
,Milk & Milk Product Technician,,
,Multimedia Animation & Special Effects,Machinist,Machinist
,Network Technicians,,Machinist
,Operator Advanced Machine Tools,,
,Pest Control Technicians,,Fitter
,Physiotherapy Technician,Marine Fitter,"Marine Fitter, Fitter"
,Pump Operator-Cum-Mechanic,,
,Radiology Technician,,Mason
,Radiology - Technician,,
,Smartphone Technician Cum App Tester,Mechanic Auto Body Painting,Mechanic Auto Body Painting
,Smart City IoT Technician,Mechanic Auto Body Repair,Mechanic Auto Body Repair
,Smart Healthcare IoT Technician,Mechanic Auto Electrical and Electronics,Mechanic Auto Electrical and Electronics
,Software Testing Assistant,,
,Solar Energy Technicians,Mechanic Diesel,Mechanic Diesel
,Solar Technician (Electrical),,
,Spa Therapy,,
,Spinning Technician,,
,Stenographer & Secretarial Assistant (English),,
,Stenographer & Secretarial Assistant (Hindi),,Mining
,Stone Mining Machine Operator,Mechanic (Motor Vehicle),Mechanic (Motor Vehicle)
,Stone Processing Machine Operator,,
,Surface Ornamentation Techniques (Embroidery),,
,Textile Mechatronics,,
,Textile Wet Processing Technician,,
,"Tool & Die Maker (Press Tools, Jigs & Fixtures)",,
,Tourist Guide,,Multimedia
,Travel & Tour Assistant,,Network Technician
,Vessel Navigator,,
,Warehouse Technician,Painter General,Painter General
,Weaver Technician,,Pest Control Technician
,Welding (Fabrication & Fitting),,IOT
,Welding (GMAW & GTAW),Plumber,Plumber
,Welding (Inspection),Plastic Processing Operator,Plastic Processing Operator
,Welding (Pipe),,
,Welding (Structural),,
,Wind Turbine Technicians,,
,Wood Work Technician,Refrigeration And Air Conditioning Technician,Refrigeration And Air Conditioning Technician
,,Secretarial Practice (English),Secretarial Practice (English)
,,Sewing Technology,Sewing Technology
,,Sheet Metal Worker,Sheet Metal Worker
,,,
,,,IOT
,,,IOT
,,,
,,,
,,,
,,,
,,,
,,,Stenographer & Secretarial Assistant
,,,Stenographer & Secretarial Assistant
,,,"Machine Operator, Mining"
,,,Machine Operator
,,,Surface Ornamentation Techniques
,,Surveyor,Surveyor
,,,
,,,
,,Tool & Die Maker (Dies & Moulds),Tool & Die Maker (Dies & Moulds)
,,,
,,,
,,,
,,Turner,Turner
,,,
,,,
,,,
,,,Fabrication
,,,
,,,
,,,
,,,
,,,
,,Wireman,Wireman
,,,
